"","name","fy","fp","AccountsPayableCurrent","AccountsReceivableNetCurrent","AccumulatedOtherComprehensiveIncomeLossNetOfTax","CashAndCashEquivalentsAtCarryingValue","CommonStockParOrStatedValuePerShare","CommonStockSharesAuthorized","CommonStockSharesIssued","CommonStockSharesOutstanding","ComprehensiveIncomeNetOfTax","DepreciationAndAmortization","DepreciationDepletionAndAmortization","NetIncomeLoss","OperatingIncomeLoss","PropertyPlantAndEquipmentNet","RetainedEarningsAccumulatedDeficit","WeightedAverageNumberOfSharesOutstandingBasic"
"3141","INVESCO CURRENCYSHARES EURO TRUST","2018","Q3",NA,NA,NA,NA,NA,NA,NA,NA,-1200106.5,NA,NA,-1178971,NA,NA,NA,NA
"3142","INVESCO CURRENCYSHARES JAPANESE YEN TRUST","2018","Q3",NA,NA,NA,NA,NA,NA,NA,NA,-336725,NA,NA,-336843,NA,NA,NA,NA
"3143","INVESCO CURRENCYSHARES SINGAPORE DOLLAR TRUST","2018","Q3",NA,NA,NA,NA,NA,NA,NA,NA,-1214.25,NA,NA,-1171.75,NA,NA,NA,NA
"3144","INVESCO CURRENCYSHARES SWEDISH KRONA TRUST","2018","Q3",NA,NA,NA,NA,NA,NA,NA,NA,-182152.75,NA,NA,-178074,NA,NA,NA,NA
"3145","INVESCO CURRENCYSHARES SWISS FRANC TRUST","2018","Q3",NA,NA,NA,NA,NA,NA,NA,NA,-895438.25,NA,NA,-888354.5,NA,NA,NA,NA
"3146","INVESTORS REAL ESTATE TRUST","2017","Q3",NA,NA,NA,NA,NA,NA,NA,120893000,NA,21597000,NA,-16453500,-24322000,NA,-477538000,120769000
"3147","IONIX TECHNOLOGY, INC.","2017","Q1",674955,34725,NA,66601,NA,NA,NA,NA,NA,NA,NA,-11225,NA,NA,NA,NA
"3148","IOTA COMMUNICATIONS, INC.","2019","Q2",NA,NA,NA,NA,1e-04,6e+08,163250377.5,163250377.5,NA,NA,NA,NA,-13219437.25,10925892,NA,NA
"3149","IOWA RENEWABLE ENERGY, LLC","2011","Q3",NA,NA,NA,NA,NA,NA,NA,26331,NA,NA,NA,NA,-1503370.25,32398469.5,NA,26331
"3150","IOWA RENEWABLE ENERGY, LLC","2012","Q1",NA,1655953,NA,256215.5,NA,NA,NA,26331,NA,NA,NA,-743149,-200690,30446530,NA,26331
"3151","IOWA RENEWABLE ENERGY, LLC","2012","Q2",NA,1361824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30117052.5,NA,NA
"3152","IOWA RENEWABLE ENERGY, LLC","2012","Q3",NA,1396122,NA,NA,NA,NA,NA,26331,NA,NA,NA,NA,387529,29787275,-19398599,26331
"3153","IP TECHNOLOGY SERVICES, INC.","2011","Q3",NA,NA,NA,NA,NA,NA,NA,2491500,NA,NA,NA,NA,-18084.5,NA,NA,2497290
"3154","IP TECHNOLOGY SERVICES, INC.","2012","Q1",0,0,NA,19775.5,NA,NA,NA,2607305.5,NA,NA,NA,14193,-5157.5,NA,NA,NA
"3155","IP TECHNOLOGY SERVICES, INC.","2012","Q2",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3156","IP TECHNOLOGY SERVICES, INC.","2012","Q3",0,NA,NA,NA,1e-04,9.9e+07,2661345.5,2661345.5,NA,NA,NA,NA,NA,NA,-85799,NA
"3157","IRONWOOD GOLD CORP.","2013","Q1",NA,NA,NA,53937.6,0.001,2.5e+07,7574960,NA,NA,NA,NA,-2075596,NA,NA,NA,NA
"3158","IRONWOOD GOLD CORP.","2014","Q1",NA,NA,NA,NA,0.001,2.5e+08,31819336,NA,NA,NA,NA,-2375986.33333333,NA,NA,NA,NA
"3159","IRVINE SENSORS CORP/DE/","2011","Q3",NA,NA,NA,886525,NA,NA,73538950,73538950,NA,NA,912750,NA,-3821250,2732850,NA,NA
"3160","ISA INTERNATIONALE INC","2011","Q3",NA,NA,NA,48844.5,NA,NA,NA,NA,NA,NA,6368.5,NA,-250805,46745,NA,23999612
"3161","ISA INTERNATIONALE INC","2012","Q1",164756.5,786,NA,18831.2,NA,NA,NA,NA,NA,NA,NA,-90462.5,-86546,22787.5,NA,23999612
"3162","ISA INTERNATIONALE INC","2012","Q2",163334,430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21115,NA,NA
"3163","ISC8 INC. /DE","2012","Q1",1134650,NA,NA,2959925,NA,NA,NA,NA,NA,NA,NA,-11614800,-3227650,2470400,-195682900,NA
"3164","ISC8 INC. /DE","2012","Q2",NA,503200,NA,3725625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3165","ISC8 INC. /DE","2012","Q3",508800,340200,NA,NA,0.01,8e+08,120297150,120297150,NA,NA,684500,NA,-6103950,NA,-197877000,109003825
"3166","ISC8 INC. /DE","2013","Q1",NA,NA,NA,NA,0.01,8e+08,136975500,136955500,NA,NA,179000,NA,NA,NA,NA,NA
"3167","ISC8 INC. /DE","2013","Q2",728500,NA,-137000,2994000,0.01,8e+08,148544000,148544000,NA,NA,58500,NA,-4863500,134000,NA,NA
"3168","ISC8 INC. /DE","2014","Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132500,NA,NA,NA,NA,NA
"3169","ISC8 INC. /DE","2014","Q2",1177500,119000,NA,585750,NA,NA,NA,NA,NA,NA,NA,-7765750,-5843000,NA,NA,NA
"3170","ITALK INC.","2013","Q1",NA,NA,NA,NA,0.001,1.875e+09,42500000,42500000,NA,NA,NA,NA,NA,NA,NA,NA
"3171","ITALK INC.","2014","Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-329604.5,NA,NA,NA,NA
"3172","ITALK INC.","2015","Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-492886.25,NA,-3454595.5,NA
"3173","ITUS CORP","2014","Q3",NA,154166.5,NA,1467865,0.01,6e+08,223049467.5,223049467.5,NA,NA,NA,-3944273.25,NA,NA,NA,NA
"3174","ITUS CORP","2016","Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1192145,94538,-146945309.5,NA
"3175","ITUS CORP","2016","Q3",NA,NA,NA,3735138.75,0.01,NA,NA,8736315.5,NA,NA,NA,NA,NA,NA,NA,NA
"3176","J&J SNACK FOODS CORP","2011","Q3",NA,NA,-2599000,67236000,NA,NA,18556500,18556500,NA,NA,NA,NA,39371000,116233500,NA,18596000
"3177","J&J SNACK FOODS CORP","2012","Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6289500,9718000,125844500,392808000,18692000
"3178","J&J SNACK FOODS CORP","2012","Q2",NA,74082500,NA,87562000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3179","J&J SNACK FOODS CORP","2012","Q3",60686500,79508000,-3966500,NA,0,5e+07,18814500,18814500,28802750,NA,15221500,NA,40891750,NA,404901000,18768750
"3180","J&J SNACK FOODS CORP","2013","Q1",NA,71527000,NA,103996000,0,5e+07,18781500,NA,NA,NA,7778500,7855500,NA,NA,NA,NA
"3181","J&J SNACK FOODS CORP","2013","Q3",NA,NA,-4626000,NA,NA,NA,NA,NA,27722500,NA,NA,NA,NA,NA,NA,NA
"3182","J&J SNACK FOODS CORP","2014","Q1",NA,NA,-4465000,NA,0,5e+07,18679000,NA,11327500,NA,NA,11326000,NA,NA,NA,NA
"3183","J&J SNACK FOODS CORP","2014","Q2",52566000,87207500,-4189666.66666667,107795500,NA,NA,NA,NA,19579500,NA,12945250,NA,28003500,151209500,494972000,18745500
"3184","J&J SNACK FOODS CORP","2016","Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17485000,174350000,581760500,NA
"3185","J&J SNACK FOODS CORP","2016","Q3",NA,NA,NA,114079500,0,NA,NA,18647000,37333250,NA,NA,NA,NA,NA,NA,18658750
"3186","J&J SNACK FOODS CORP","2017","Q1",62587500,NA,NA,NA,NA,5e+07,18682500,NA,NA,NA,NA,NA,18843500,NA,628901000,18686500
"3187","J&J SNACK FOODS CORP","2017","Q2",64748500,104337000,NA,NA,NA,NA,18692000,18692000,NA,NA,NA,NA,NA,193346500,632964500,18677000
"3188","J&J SNACK FOODS CORP","2018","Q1",NA,NA,-10873500,113417250,NA,NA,NA,NA,NA,NA,NA,NA,20277500,228711000,NA,NA
"3189","J&J SNACK FOODS CORP","2019","Q2",68970000,NA,NA,NA,NA,NA,NA,18784500,32252250,NA,NA,NA,34983500,244421000,753330500,18733750
"3190","J&J SNACK FOODS CORP","2019","Q3",NA,NA,NA,113541500,NA,NA,NA,NA,NA,NA,NA,37240750,NA,NA,NA,18739200
"3191","JA ENERGY","2012","Q1",NA,NA,NA,8894,NA,NA,NA,NA,NA,NA,NA,-49268.3333333333,NA,NA,NA,NA
"3192","JA ENERGY","2013","Q2",NA,NA,NA,4236.33333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,98928.5,NA,NA
"3193","JABIL CIRCUIT INC","2012","Q3",2892916000,NA,151985500,NA,0.001,5e+08,228083241,204444797,184147500,NA,248249000,NA,299993250,NA,571580000,210855250
"3194","JABIL CIRCUIT INC","2013","Q1",3183896000,NA,NA,999451250,0.001,5e+08,234379058,NA,NA,NA,90532000,109359500,NA,NA,NA,NA
"3195","JABIL CIRCUIT INC","2014","Q1",NA,NA,87581000,NA,0.001,5e+08,240117573.5,NA,121525000,NA,NA,NA,NA,NA,NA,NA
"3196","JABIL CIRCUIT INC","2014","Q2",2826455000,NA,87909500,991353250,NA,NA,NA,NA,88891000,NA,221095500,NA,NA,2320634000,1093818000,204026750
"3197","JABIL CIRCUIT INC","2015","Q2",3074359500,NA,43192000,NA,NA,NA,NA,NA,23201500,NA,NA,NA,NA,NA,NA,NA
"3198","JABIL CIRCUIT INC","2016","Q2",NA,NA,-59932500,940961000,NA,NA,247860223.5,NA,75086750,NA,289371000,NA,229704750,NA,NA,NA
"3199","JABIL CIRCUIT INC","2017","Q2",3447510500,NA,NA,NA,0.001,5e+08,NA,184674072.5,NA,NA,354809000,NA,NA,NA,NA,NA
"3200","JABIL INC","2018","Q1",4530408500,NA,NA,NA,NA,NA,NA,177016656.5,NA,NA,191767000,75911000,155680500,NA,1755114000,181114000
"3201","JABIL INC","2019","Q1",5200665000,NA,NA,NA,0.001,5e+08,257973403.5,161287534,85855000,NA,191734500,NA,NA,NA,1835774000,169246500
"3202","JABIL INC","2020","Q1",NA,NA,NA,941592500,NA,NA,261372131,152910368,NA,NA,NA,NA,184744500,NA,NA,NA
"3203","JABIL INC","2020","Q2",NA,NA,-92868500,930044000,0.001,5e+08,261852960,152463953,NA,NA,NA,73041000,214678750,NA,NA,NA
"3204","JACK IN THE BOX INC /NEW/","2010","Q3",NA,NA,-79162500,NA,0.01,1.75e+08,74178534,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3205","JACK IN THE BOX INC /NEW/","2012","Q2",80739500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,844515500,NA,47320250
"3206","JACK IN THE BOX INC /NEW/","2013","Q2",59418000,NA,-132678500,10350750,0.01,1.75e+08,76693542.5,NA,29551250,NA,52232000,NA,47012500,813503000,NA,43724750
"3207","JACK IN THE BOX INC /NEW/","2014","Q3",NA,NA,NA,9447000,0.01,1.75e+08,79209689.5,NA,NA,NA,72727500,30040250,NA,NA,NA,42054750
"3208","JACK IN THE BOX INC /NEW/","2015","Q2",30157500,NA,-90208500,NA,NA,NA,NA,NA,37603500,NA,NA,NA,NA,NA,NA,NA
"3209","JACK IN THE BOX INC /NEW/","2015","Q3",28937000,NA,NA,NA,NA,NA,80598821.5,NA,52736000,NA,NA,NA,95494250,713073500,1274394500,NA
"3210","JACK IN THE BOX INC /NEW/","2016","Q3",NA,NA,NA,NA,NA,NA,NA,NA,53748750,NA,NA,NA,NA,NA,NA,35450250
"3211","JACK IN THE BOX INC /NEW/","2017","Q3",37796500,NA,-177448500,NA,NA,NA,NA,NA,NA,NA,NA,NA,124859750,NA,1433696000,31791250
"3212","JACK IN THE BOX INC /NEW/","2018","Q2",26433000,NA,-130403000,NA,0.01,1.75e+08,NA,NA,NA,NA,25143500,NA,NA,NA,1503877000,NA
"3213","JACK IN THE BOX INC /NEW/","2019","Q1",NA,NA,NA,NA,0.01,1.75e+08,82097048.5,NA,26068000,NA,18163000,NA,65847500,NA,1554556000,27729000
"3214","JACK IN THE BOX INC /NEW/","2019","Q2",35057000,NA,NA,NA,0.01,1.75e+08,82097048.5,NA,NA,NA,NA,NA,NA,409136000,NA,NA
"3215","JACK IN THE BOX INC /NEW/","2020","Q2",NA,NA,-136613000,NA,0.01,1.75e+08,82159002,NA,NA,NA,NA,28774750,72051000,NA,NA,NA
"3216","JACOBS ENGINEERING GROUP INC /DE/","2010","Q3",312825000,NA,-226064000,909797250,1,2.4e+08,124926297,124926297,141513500,NA,NA,NA,NA,NA,NA,NA
"3217","JACOBS ENGINEERING GROUP INC /DE/","2011","Q2",304951500,NA,-285156000,NA,1,2.4e+08,126331732,126331732,112184250,NA,NA,NA,NA,224790000,2319113500,124570500
"3218","JACOBS ENGINEERING GROUP INC /DE/","2017","Q2",NA,NA,NA,587723250,1,NA,NA,120702426.5,47980250,NA,NA,NA,NA,NA,3599300000,119917500
"3219","JACOBS ENGINEERING GROUP INC /DE/","2017","Q3",NA,NA,NA,622815500,NA,NA,NA,NA,NA,NA,NA,134623000,NA,324400500,3625808500,NA
"3220","JACOBS ENGINEERING GROUP INC /DE/","2018","Q2",823942500,NA,-635289000,NA,1,2.4e+08,131050192.5,NA,31941500,46809000,NA,NA,NA,NA,3738674500,NA
"3221","JACOBS ENGINEERING GROUP INC /DE/","2018","Q3",NA,NA,NA,NA,1,2.4e+08,131050192.5,131050192.5,83216750,70716500,NA,159953000,NA,410507500,3801292000,129138750
"3222","JACOBS ENGINEERING GROUP INC /DE/","2019","Q1",835811500,NA,-831627500,NA,1,2.4e+08,131050192.5,131050192.5,50569500,22576500,NA,NA,NA,NA,3803427500,NA
"3223","JACOBS ENGINEERING GROUP INC /DE/","2019","Q2",802355500,NA,-833481500,NA,NA,NA,NA,NA,NA,NA,NA,52752000,112832750,263329500,3715432000,138329750
"3224","JACOBS ENGINEERING GROUP INC /DE/","2019","Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,79189000,NA,395322500,NA,NA,NA,138408250
"3225","JANEL CORP","2016","Q1",NA,12599670.5,NA,604681.75,NA,NA,573951,NA,NA,NA,NA,NA,NA,NA,-4936965.5,NA
"3226","JANEL CORP","2017","Q3",NA,NA,NA,1093308,NA,NA,NA,NA,NA,NA,NA,367735,NA,312804.5,-1931398.5,NA
"3227","JANEL CORP","2020","Q1",NA,NA,NA,NA,NA,NA,865732,845732,NA,NA,NA,NA,NA,NA,NA,NA
"3228","JANEL CORP","2020","Q2",NA,17514000,NA,NA,0.001,4500000,865732,845732,NA,NA,NA,-275000,17750,NA,NA,NA
"3229","JANEL WORLD TRADE LTD","2011","Q3",NA,NA,NA,1170006,NA,NA,NA,NA,NA,NA,NA,NA,-918.25,250235,NA,19580298
"3230","JANEL WORLD TRADE LTD","2013","Q3",NA,NA,NA,NA,NA,NA,NA,NA,-506718.75,NA,NA,NA,NA,NA,NA,NA
"3231","JANEL WORLD TRADE LTD","2014","Q1",NA,NA,NA,NA,NA,NA,NA,NA,-235189.5,NA,NA,NA,NA,NA,NA,NA
"3232","JANEL WORLD TRADE LTD","2014","Q2",NA,3538699.5,NA,812122.25,NA,NA,NA,NA,-286062.75,NA,NA,-280703.5,NA,NA,NA,24404212.25
"3233","JANEL WORLD TRADE LTD","2014","Q3",NA,3850999,NA,NA,NA,NA,NA,NA,NA,NA,NA,-358652.5,NA,NA,NA,24509875.75
"3234","JAYHAWK ENERGY, INC.","2012","Q1",NA,39017,NA,114928,NA,NA,NA,NA,NA,NA,NA,54125,NA,4805302.5,NA,NA
"3235","JAYHAWK ENERGY, INC.","2012","Q2",NA,NA,NA,55681.75,NA,NA,NA,NA,-878172.5,NA,NA,NA,NA,NA,NA,NA
"3236","JAYHAWK ENERGY, INC.","2013","Q1",NA,NA,NA,NA,60759,NA,NA,NA,NA,NA,115513,59912289.5,NA,NA,NA,NA
"3237","JEFFERIES GROUP INC /DE/","2011","Q2",NA,NA,-39529500,1883796500,1e-04,5e+08,206225254,NA,132165250,NA,NA,NA,NA,146614500,918468500,202627000
"3238","JEWETT CAMERON TRADING CO LTD","2012","Q1",NA,3374788,NA,7132815,NA,NA,NA,NA,NA,NA,NA,-391151,NA,1835213,NA,NA
"3239","JEWETT CAMERON TRADING CO LTD","2012","Q2",NA,3925564.5,NA,6132172.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3240","JEWETT CAMERON TRADING CO LTD","2012","Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,127444.5,NA,NA,NA,1804310.5,14854301,1871162.5
"3241","JEWETT CAMERON TRADING CO LTD","2013","Q1",NA,NA,NA,NA,0,2e+07,1567971,1567971,NA,59346,NA,NA,NA,NA,NA,NA
"3242","JEWETT CAMERON TRADING CO LTD","2013","Q2",NA,5194033,NA,NA,0,2e+07,1567767.5,1567767.5,NA,93922.5,NA,NA,NA,1993434.5,NA,1705280.75
"3243","JEWETT CAMERON TRADING CO LTD","2016","Q1",NA,NA,NA,NA,NA,NA,2476832,NA,NA,NA,NA,NA,NA,NA,16020741.5,NA
"3244","JEWETT CAMERON TRADING CO LTD","2016","Q3",NA,NA,NA,NA,NA,NA,NA,2445139,NA,NA,NA,NA,NA,NA,NA,2525659.25
"3245","JEWETT CAMERON TRADING CO LTD","2017","Q1",729132.5,NA,NA,NA,NA,21567564,2286294,2286294,NA,NA,NA,NA,838854.5,NA,NA,2381563
"3246","JEWETT CAMERON TRADING CO LTD","2017","Q2",571328,3944972.5,NA,NA,0,NA,NA,2286294,NA,NA,NA,NA,NA,NA,16242558.5,2381563
"3247","JEWETT CAMERON TRADING CO LTD","2018","Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,681403.5,3212170,NA,NA
"3248","JEWETT CAMERON TRADING CO LTD","2018","Q2",710498.5,NA,NA,NA,0,21567564,NA,NA,NA,NA,NA,NA,NA,NA,18484616.5,NA
"3249","JEWETT CAMERON TRADING CO LTD","2019","Q2",372882.5,NA,NA,NA,NA,NA,NA,4262598.5,NA,114956.75,NA,NA,651262.25,2947605.5,19522990,4343749
"3250","JEWETT CAMERON TRADING CO LTD","2020","Q1",NA,NA,NA,7536710.5,NA,NA,3971282,3971282,NA,NA,NA,NA,NA,NA,NA,NA
"3251","JOHNSON CONTROLS INC","2010","Q3",4349666666.66667,NA,NA,737333333.333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3252","JOHNSON CONTROLS INC","2012","Q1",NA,6.727e+09,NA,344750000,NA,NA,NA,NA,NA,NA,NA,NA,NA,5191333333.33333,NA,677600000
"3253","JOHNSON CONTROLS INC","2012","Q3",6108333333.33333,7133333333.33333,NA,399166666.666667,NA,NA,NA,NA,NA,NA,NA,762750000,NA,5.639e+09,NA,NA
"3254","JOHNSON CONTROLS INC","2013","Q1",5966333333.33333,7095333333.33333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3255","JOHNSON OUTDOORS INC","2012","Q2",NA,90489333.3333333,NA,34014750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3256","JOHNSON OUTDOORS INC","2014","Q3",NA,66678000,NA,52103750,NA,NA,NA,NA,NA,NA,NA,12774750,NA,NA,NA,NA
"3257","JOHNSON OUTDOORS INC","2016","Q1",32249666.6666667,56036333.3333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3258","JOHNSON OUTDOORS INC","2016","Q2",36781333.3333333,86133666.6666667,NA,59949000,NA,NA,NA,NA,NA,NA,NA,5301500,9322750,45296666.6666667,124362666.666667,NA
"3259","JOHNSON OUTDOORS INC","2016","Q3",NA,NA,NA,67367500,NA,NA,NA,NA,8865250,NA,NA,NA,NA,NA,NA,NA
"3260","JOHNSON OUTDOORS INC","2018","Q1",33870666.6666667,63686000,NA,NA,NA,NA,NA,NA,NA,NA,NA,2145500,3754500,NA,157209000,NA
"3261","JOHNSON OUTDOORS INC","2018","Q2",38159666.6666667,97812333.3333333,2599000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50223666.6666667,168376666.666667,NA
"3262","JOHNSON OUTDOORS INC","2018","Q3",NA,NA,NA,NA,NA,NA,NA,NA,29079250,NA,NA,30129000,NA,50443000,181126000,NA
"3263","JOHNSON OUTDOORS INC","2019","Q2",NA,NA,NA,76239500,NA,NA,NA,NA,NA,NA,NA,NA,30176750,55680000,NA,NA
"3264","JOHNSON OUTDOORS INC","2020","Q2",36377333.3333333,91962333.3333333,1393666.66666667,123947666.666667,NA,NA,NA,NA,NA,NA,NA,23642750,33013750,NA,NA,NA
"3265","JOY GLOBAL INC","2010","Q3",NA,NA,NA,168847100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3266","JOY GLOBAL INC","2012","Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21320500,122292000,NA,NA,NA,NA
"3267","JOY GLOBAL INC","2012","Q2",NA,1018302500,NA,NA,NA,NA,NA,NA,288343250,NA,NA,NA,NA,356431944.444444,NA,NA
"3268","JOY GLOBAL INC","2013","Q1",NA,1186590500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3269","JOY GLOBAL INC","2013","Q2",NA,NA,NA,163617500,NA,NA,NA,NA,273832500,NA,52890000,NA,188527045.454545,391575909.090909,NA,106097250
"3270","JOY GLOBAL INC","2014","Q1",NA,452767777.777778,-518948500,148077687.5,NA,NA,NA,NA,24628333.3333333,NA,NA,95499000,69588111.1111111,NA,NA,104019000
"3271","JOY GLOBAL INC","2014","Q3",NA,438778000,NA,NA,NA,NA,NA,NA,NA,NA,60867000,238864250,NA,NA,NA,103341250
"3272","JOY GLOBAL INC","2015","Q1",NA,NA,-561160000,133078437.5,NA,NA,NA,NA,-12938388.8888889,NA,NA,NA,31102666.6666667,387825555.555556,NA,NA
"3273","JOY GLOBAL INC","2015","Q2",NA,NA,-565252666.666667,NA,NA,NA,NA,NA,20722583.3333333,NA,NA,NA,NA,NA,NA,NA
"3274","JOY GLOBAL INC","2015","Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68066250,NA,NA,NA,NA,NA
"3275","JOY GLOBAL INC","2016","Q3",NA,NA,NA,174200250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3276","JOY GLOBAL INC","2017","Q1",NA,661919500,-155157750,299309000,NA,NA,NA,NA,NA,NA,33152000,-20249000,-23418500,649563500,NA,98382000
"3277","JUQUN,INC.","2013","Q1",NA,NA,NA,NA,0.001,1.5e+08,49678580,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3278","JUQUN,INC.","2013","Q2",NA,NA,NA,NA,NA,1.5e+08,45883458.6666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3279","JV GROUP, INC.","2014","Q3",NA,NA,5312,19394.5,NA,7e+08,98879655,NA,-207016.25,72605.5,NA,NA,-208498.75,NA,NA,NA
"3280","KAIVAL BRANDS INNOVATIONS GROUP, INC.","2019","Q3",NA,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,-36227.5,NA,NA,NA,NA
"3281","KAIVAL BRANDS INNOVATIONS GROUP, INC.","2020","Q2",NA,1606960,NA,492670.5,0.001,1e+09,572364574,572364574,NA,NA,NA,1389080.75,NA,NA,NA,NA
"3282","KAT RACING, INC.","2012","Q2",1057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3283","KAT RACING, INC.","2012","Q3",1057,NA,NA,NA,NA,7e+07,5749000,NA,NA,NA,NA,NA,NA,NA,-201022,NA
"3284","KEURIG GREEN MOUNTAIN, INC.","2014","Q3",NA,425179000,-23598500,468574250,0.1,5e+08,156439202.5,156439202.5,259264250,NA,NA,NA,432759750,NA,NA,NA
"3285","KEURIG GREEN MOUNTAIN, INC.","2015","Q2",345285000,NA,-70016500,NA,NA,NA,NA,NA,168357500,NA,NA,NA,NA,NA,NA,NA
"3286","KEURIG GREEN MOUNTAIN, INC.","2016","Q1",282760500,545060500,NA,385454000,NA,NA,151198615.5,NA,91188500,NA,NA,NA,NA,NA,2042299000,NA
"3287","KEY TECHNOLOGY INC","2012","Q2",NA,9935000,NA,28055250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3288","KEY TECHNOLOGY INC","2013","Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,958000,NA,NA,NA,NA,NA
"3289","KEY TECHNOLOGY INC","2013","Q2",NA,13239500,NA,23650500,NA,NA,NA,NA,373000,NA,1985000,NA,658500,18235000,NA,5486000
"3290","KEY TECHNOLOGY INC","2014","Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1190500,NA,NA,NA,NA,NA
"3291","KEY TECHNOLOGY INC","2014","Q3",6390000,14428500,NA,18486000,NA,NA,NA,NA,-668000,NA,NA,NA,NA,NA,NA,NA
"3292","KEY TECHNOLOGY INC","2015","Q1",6059500,12023500,NA,10873500,NA,NA,NA,NA,NA,NA,1342500,NA,-3551000,NA,NA,NA
"3293","KEY TECHNOLOGY INC","2015","Q2",NA,12300500,NA,NA,NA,NA,NA,NA,-3264000,NA,NA,NA,NA,NA,NA,NA
"3294","KEY TECHNOLOGY INC","2015","Q3",8649500,NA,NA,NA,NA,NA,NA,NA,NA,NA,3968500,NA,NA,NA,NA,NA
"3295","KEY TECHNOLOGY INC","2016","Q3",NA,NA,NA,NA,NA,NA,NA,NA,-1308000,NA,NA,NA,NA,NA,NA,6308000
"3296","KEY TECHNOLOGY INC","2017","Q1",8072500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1147000,NA,NA,6318000
"3297","KEY TECHNOLOGY INC","2017","Q2",NA,14462500,NA,7699750,NA,NA,NA,NA,-754000,NA,NA,NA,NA,NA,NA,6356500
"3298","KEY TECHNOLOGY INC","2017","Q3",NA,15710500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2608750,NA,NA,6399500
"3299","KEYNOTE SYSTEMS INC","2011","Q3",NA,NA,4379500,34539750,NA,NA,NA,15740294.5,NA,NA,3278000,NA,4256750,33719000,NA,15421750
"3300","KEYNOTE SYSTEMS INC","2012","Q1",2933000,17217500,344500,40104000,NA,NA,NA,17294342,NA,NA,NA,NA,4559000,35047500,NA,16150000
"3301","KEYNOTE SYSTEMS INC","2012","Q3",2926500,16963000,-336500,NA,0.001,1e+08,17403383.5,17403383.5,4741250,NA,NA,NA,5546750,NA,-84825000,16785000
"3302","KEYNOTE SYSTEMS INC","2013","Q1",2362500,19234000,NA,41522500,0.001,1e+08,18064141.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3303","KEYSIGHT TECHNOLOGIES, INC.","2015","Q1",165500000,NA,NA,424250000,0.01,NA,NA,NA,NA,NA,2.1e+07,NA,NA,NA,NA,NA
"3304","KEYSIGHT TECHNOLOGIES, INC.","2015","Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167750000
"3305","KEYSIGHT TECHNOLOGIES, INC.","2016","Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.16e+08,6.46e+08,169500000
"3306","KEYSIGHT TECHNOLOGIES, INC.","2016","Q2",188500000,4.03e+08,-412500000,701750000,0.01,NA,170500000,NA,NA,NA,56500000,NA,160250000,NA,NA,NA
