name,fy,fp,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,CashAndCashEquivalentsAtCarryingValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,ComprehensiveIncomeNetOfTax,DepreciationAndAmortization,DepreciationDepletionAndAmortization,NetIncomeLoss,OperatingIncomeLoss,PropertyPlantAndEquipmentNet,RetainedEarningsAccumulatedDeficit,WeightedAverageNumberOfSharesOutstandingBasic
ACTUANT CORP,2013,Q3,,,,,,,,,,,,1696300,,,,
ACTUANT CORP,2014,Q1,,,,,,,,,,,15326500,,,,,
ACTUANT CORP,2014,Q2,61555000,90605200,-57960000,,,,,,22606400,,30431500,21203400,,,1227400500,72674500
ACTUANT CORP,2014,Q3,,95672800,-57874000,46321300,,,,,6936700,,,,39461700,,,
ACTUANT CORP,2015,Q1,,89745400,,40981500,,,,,,,,,,,,
ACTUANT CORP,2015,Q2,54536400,86214000,-128263500,,,,,,-13684300,,,,,,,
ACTUANT CORP,2015,Q3,55097400,,,45074800,,,,,,,43584500,,,,,
ACTUANT CORP,2016,Q1,48499600,78005200,,,,,,,,,,,,,,
ACTUANT CORP,2016,Q2,45933000,74883200,-231182500,52002600,,,,,,,25899000,-40793400,-39353500,,,
ACTUANT CORP,2016,Q3,47643000,,,52307200,,,,,,,,,,,,
ACTUANT CORP,2017,Q1,117358500,187822000,-264884000,174316500,,,,,,,11684000,10206500,16921000,112278500,1262130000,59079500
ACTUANT CORP,2017,Q2,1.20E+08,194371500,,168752750,,,,,-89238750,,,,,,1264664500,59154500
ACTUANT CORP,2017,Q3,,197296500,-253166500,,,,,,,,,,-3430750,,1275920500,59242750
ACTUANT CORP,2018,Q1,137566000,195761500,,,,,,,,,10493000,5095500,11572000,,1193655000,59421500
ACTUANT CORP,2018,Q2,135164000,,-185244000,,,,,,32260000,,21005000,,,,1184544500,
ACTUANT CORP,2018,Q3,,,,,,,,,,,31531000,25022750,,97643000,1199050500,59997000
ACTUANT CORP,2018,Q4,132112500,,-200753000,207127750,0.2,1.68E+08,80811847,,-51213333.33,,,-64345000,-44085000,,1178998500,
ACTUANT CORP,2019,Q1,127452500,189469500,-178217000,,,,,,-8572500,,9490000,,,,1158266500,
ACTUANT CORP,2019,Q2,,,,201011000,,,,,,,,,14417750,86676000,,
ACTUANT CORP,2020,Q1,,,,217966000,,,,,,,,,2907500,,,
ACUITY BRANDS INC,2012,Q2,65533333.33,86700000,,55608333.33,,,,,,,,,,46100000,,41800000
ACUITY BRANDS INC,2012,Q3,67750000,88700000,-60300000,62525000,,,,,,,29700000,17925000,,45933333.33,574300000,
ACUITY BRANDS INC,2013,Q1,72883333.33,89050000,,,,,,,,,,,,,,
ACUITY BRANDS INC,2014,Q1,,,,109100000,,,,,,,,,20933333.33,,759750000,
ACUITY BRANDS INC,2015,Q3,,127700000,,,,,,,31750000,,,,53725000,,966100000,
ACUITY BRANDS INC,2016,Q2,,,-115750000,213470000,,,53130189.5,,47435000,,26600000,,56970000,,,
ACUITY BRANDS INC,2017,Q1,158380000,,,,,5.00E+08,,,,,,,47800000,,,43550000
ACUITY BRANDS INC,2017,Q2,153300000,214740000,,185750000,0.01,,,,62690000,,,,,,1429650000,43625000
ACUITY BRANDS INC,2018,Q2,368500000,,-107550000,,0.01,5.00E+08,,,120550000,,37400000,,,,,
ACUITY BRANDS INC,2018,Q3,,,,,0.01,5.00E+08,53597356.5,,,,57500000,156950000,,287850000,1778050000,42050000
ACUITY BRANDS INC,2019,Q1,420400000,597300000,,,0.01,5.00E+08,53700444,,6.80E+07,,20150000,,,,2029900000,40950000
"ADAMS RESOURCES & ENERGY, INC.",2017,Q2,,88142000,,90097750,,,,4217596,,,,,,,138303000,
"ADAMS RESOURCES & ENERGY, INC.",2017,Q3,,80042500,,,0.1,,,4217596,,,,,3298750,,137698000,
ADDVANTAGE TECHNOLOGIES GROUP INC,2011,Q3,,,,,,,,10175680,1749596.5,,280811.5,,3203293.25,7103659,,10158119.75
ADDVANTAGE TECHNOLOGIES GROUP INC,2012,Q1,2026529,3680268,,10580068,,,,10207390,,,,,1136732.5,8352200,,10175680
ADDVANTAGE TECHNOLOGIES GROUP INC,2012,Q2,,3796025,,8009809,,,,,916707.25,,,,,,,
ADDVANTAGE TECHNOLOGIES GROUP INC,2013,Q1,,,,,0.01,3.00E+07,10465323,10172023,,,83426.5,,,,,
ADDVANTAGE TECHNOLOGIES GROUP INC,2013,Q3,,,,,,,,,860280.25,,,,,,,
ADDVANTAGE TECHNOLOGIES GROUP INC,2014,Q2,2878964.5,3404923,,6438115.75,,,,,,,184396,182656.5,,,45286099.5,10035618.5
ADDVANTAGE TECHNOLOGIES GROUP INC,2016,Q1,,,,,,,,,,,,,426549.5,6221600.5,47153346,
ADDVANTAGE TECHNOLOGIES GROUP INC,2016,Q3,,,,5294899.5,0.01,,,10098899,,,,,,,,10090327.5
ADDVANTAGE TECHNOLOGIES GROUP INC,2017,Q1,2239615,,,,,3.00E+07,,,,,,,261780,,,10101687
ADDVANTAGE TECHNOLOGIES GROUP INC,2017,Q2,2337359.5,4799535.5,,,,,10663897.5,10163239.5,,,,,,6200973.5,47549428,10117630.5
ADDVANTAGE TECHNOLOGIES GROUP INC,2018,Q1,3435809.5,5433270.5,,3249769.25,,,,,,,,,80568.5,5963375,,
ADDVANTAGE TECHNOLOGIES GROUP INC,2019,Q2,5634948,,,,,,10834376.5,10333718.5,,,,,-949219.5,2241465,38890118,10303662.25
ADDVANTAGE TECHNOLOGIES GROUP INC,2019,Q3,,,,,0.01,,,,,,,-1553291.75,,,,10322586.5
ADDVANTAGE TECHNOLOGIES GROUP INC,2020,Q1,,,,925124,,,10861950,10361292,,,,,-1385572.5,,,
ADOBE INC.,2019,Q3,,,,,1.00E-04,,,,,,,1367796250,,,,488588500
ADOBE INC.,2020,Q1,,,,2.18E+09,,,6.01E+08,4.83E+08,,,,,8.16E+08,,,
ADOBE INC.,2020,Q2,,1450500000,-191500000,2.36E+09,1.00E-04,9.00E+08,6.01E+08,481500000,,,,1273750000,1290750000,,,
ADOBE SYSTEMS INC,2009,Q2,,364916000,42266000,1055526250,1.00E-04,9.00E+08,600834000,525320500,,135661500,,264444000,331602250,302378500,5054659000,533217500
ADOBE SYSTEMS INC,2012,Q2,,581882000,,879526000,,,,,338379500,,,,,,,
ADOBE SYSTEMS INC,2013,Q1,61242000,551517000,,,,,,,,,,,,,,
ADOBE SYSTEMS INC,2013,Q2,51722000,,,1153050000,1.00E-04,9.00E+08,600834000,498592000,199950750,,,,,,,
ADOBE SYSTEMS INC,2014,Q1,,555163500,51347500,1074976500,1.00E-04,9.00E+08,600834000,,66025000,,,56081500,,,,
ADOBE SYSTEMS INC,2014,Q2,,,,,1.00E-04,9.00E+08,600834000,496754000,104249750,,,,,,,
ADOBE SYSTEMS INC,2015,Q1,,562113500,-55952000,849689000,1.00E-04,9.00E+08,600834000,498766000,23353500,,,65967000,,784718500,6840548500,
ADOBE SYSTEMS INC,2015,Q2,62458000,547208500,-68783500,,,,,,111880750,,,,,,,
ADOBE SYSTEMS INC,2018,Q1,122314000,1140329000,,1763316000,1.00E-04,9.00E+08,600834000,492071000,485798500,,78665500,490761000,585866000,964325000,9702134500,
ADOBE SYSTEMS INC,2018,Q3,129552000,,,,1.00E-04,9.00E+08,600834000,490134500,1074712250,,242267500,1047699750,,978118000,10355613500,492231250
ADT CORP,2013,Q2,,75500000,87500000,202500000,0.01,1.00E+09,225517666,225517666,154750000,,4.43E+08,,270500000,216500000,,2.30E+08
ADT CORP,2014,Q1,,,,,,,,,,,2.38E+08,,,,,
ADT CORP,2014,Q3,188500000,86500000,75500000,223500000,,1.00E+09,191470941,,176500000,,,,,,,
ADVANCE AUTO PARTS INC,2010,Q3,,,-5582000,,1.00E-04,2.00E+05,104701,88910.5,,,,,,,,
ADVANCE AUTO PARTS INC,2011,Q3,,,-1482666.667,97216250,,,,,,,89953000,,272301750,1138067667,,81944750
ADVANCE AUTO PARTS INC,2012,Q2,,,,133715250,,,,,,,,,,1202904667,,76178000
ADVANCE AUTO PARTS INC,2015,Q3,,246626800,,,,,,,,,,,151377400,566474400,1709974500,
ADVANCE AUTO PARTS INC,2016,Q2,,249756200,-35937500,42298200,1.00E-04,,,,,,81283500,,106705400,,,
ADVANCE AUTO PARTS INC,2016,Q3,,,,,,,,,,,,,,,,73345750
ADVANCE AUTO PARTS INC,2017,Q2,,331069000,,,,,,,,,,,,,2514431000,73591500
ADVANCE AUTO PARTS INC,2018,Q2,2892449500,,-26883000,,1.00E-04,,,,,,74561000,,,,2986216000,
"ADVANCED BIOENERGY, LLC",2012,Q1,8516000,19018000,,20465250,,,,24714180,,,,6629500,7502000,162485000,,24714180
"ADVANCED BIOENERGY, LLC",2014,Q2,2683500,8237000,,13752250,,,,,,,,21422000,,28274000,-37857000,25371750
"ADVANCED BIOENERGY, LLC",2014,Q3,,6307000,,13737625,,,,,,,,,7304250,27708250,,
"ADVANCED BIOENERGY, LLC",2015,Q3,,4388000,,,,,,,,,,,9099750,,-13976500,
"ADVANCED BIOENERGY, LLC",2016,Q3,4489000,,,12707875,,,,,,,,,,,,
"ADVANCED BIOENERGY, LLC",2017,Q2,,3519000,,,,,,,,,,,,,-19052500,
"ADVANCED BIOENERGY, LLC",2018,Q3,3760500,,,,,,,,,,,879250,1168250,30570500,-14722000,
"ADVANCED BIOENERGY, LLC",2020,Q1,,2063500,,8572333.333,,,,,,,,,-2596500,,,
ADVANCED BIOMEDICAL TECHNOLOGIES INC.,2011,Q3,,,-136473,,,,,,,,,,,56926,,
ADVANCED BIOMEDICAL TECHNOLOGIES INC.,2012,Q2,,,,71778.5,,,,,,,,,,,,
ADVANCED BIOMEDICAL TECHNOLOGIES INC.,2012,Q3,,,-177401.5,,,,565.5,,,,,,,122510.5,,
ADVANCED BIOMEDICAL TECHNOLOGIES INC.,2013,Q1,,,,61257.25,0,1.00E+08,56574850,,,,,-625477.5385,,,,
ADVANCED BIOMEDICAL TECHNOLOGIES INC.,2013,Q2,,,-228383,56098.75,0,1.00E+08,56574850,56574850,-1056898.8,,,-591140.1333,,136665.5,,
ADVANCED BIOMEDICAL TECHNOLOGIES INC.,2013,Q3,,,-235431,,,,,,-1161031.2,,,,,,,
ADVANCED BIOMEDICAL TECHNOLOGIES INC.,2014,Q1,,,-278544.5,,0,1.00E+08,56874850,,-1818396.667,,,,,,,
ADVANCED BIOMEDICAL TECHNOLOGIES INC.,2014,Q2,,,-231528.5,46553,,,,,-1208994,,,,,122358.5,,
ADVANCED BIOMEDICAL TECHNOLOGIES INC.,2016,Q1,,,,,,,,,,,,,-143987.5,100764,-6358218.5,
ADVANCED BIOMEDICAL TECHNOLOGIES INC.,2017,Q2,,,,,,,68249850,64458183.33,,,,,,67719.5,-7156422,
ADVANCED BIOMEDICAL TECHNOLOGIES INC.,2019,Q2,,,,,,,69624850,69624850,-422639.5,,,,-215942.5,105687,-8876719,
ADVANCED BIOMEDICAL TECHNOLOGIES INC.,2019,Q3,,,,,0,,,,,13773.5,,-337069.5,,,,
"ADVANCED PIPE FITTING TECHNOLOGIES, INC.",2011,Q3,,,,,,,,1.00E+07,,,,,,,,
"ADVANCED VOICE RECOGNITION SYSTEMS, INC",2011,Q3,,,,,,,,,,,,,,1977.5,,180135194.8
"ADVANCED VOICE RECOGNITION SYSTEMS, INC",2012,Q1,,,,48308.66667,,,,,,,,-771468.3158,,1801.5,-7121784,182510404.5
"ADVANCED VOICE RECOGNITION SYSTEMS, INC",2012,Q2,,,,136769.5,,,,,,,,,,,,
"ADVANCED VOICE RECOGNITION SYSTEMS, INC",2012,Q3,,,,,,,,,,,,,,3104.666667,-7448001.5,195133491.5
"ADVANCED VOICE RECOGNITION SYSTEMS, INC",2013,Q1,,,,72828.33333,,,,,,,,-774884.9,,,,
"ADVANCED VOICE RECOGNITION SYSTEMS, INC",2013,Q2,,,,,,,,,,,,,,4167.5,,201466601.5
"ADVAXIS, INC.",2011,Q3,,,,,,,219057791,219057791,,,243564.6667,,-11992779.2,14203,,186469856.8
"ADVAXIS, INC.",2012,Q2,,,,,,,,,,,,,,43626,,245679738
"ADVAXIS, INC.",2014,Q1,,,,,0.001,2.50E+07,9295907,,,,,-27875733,,,,
"ADVAXIS, INC.",2014,Q2,2724502,,,,,,,16411231,,,61054.25,-6519571,,85779.5,-74216827.5,
"ADVAXIS, INC.",2015,Q3,,,,,,,,,,,,,-17106572.5,,-104216715,
"ADVAXIS, INC.",2016,Q2,,,,,,,,33924701,,,,,-21398533.5,1409319.5,,
"ADVAXIS, INC.",2017,Q1,2627434,,,73887436.75,,6.50E+07,,,,,,,-18568649,4815965.5,,
"ADVAXIS, INC.",2017,Q3,,,,56017078.5,,,,,,,,-42784812.25,,5863205.5,-242793951.5,
"ADVAXIS, INC.",2018,Q1,6104937.5,,,,,,,,,,,,,7517346.5,,
"ADVAXIS, INC.",2018,Q3,3981500,,,47774500,,,,,,,,-41183250,-41437000,7312000,,
AECOM,2015,Q2,1364634000,,-374665833.3,,,,,,-88788000,,,,,,,
AECOM,2016,Q1,1879480500,,,,,,,,,,,,,,,
AECOM,2018,Q1,2338170500,,,,,,,158330877.5,,,64875500,79246500,137297500,,1017297000,156082000
AECOM,2018,Q3,,,,,0.01,3.00E+08,159111668.5,159111668.5,105639750,,203059500,116407500,,614254000,987885500,157638000
AECOM,2019,Q2,2653697000,,-708725166.7,,,,,,,,,19764250,115748750,605218000,976617000,157834250
AECOM,2020,Q2,2297592000,2879077500,-784811833.3,895601666.7,0.01,3.00E+08,158195523,158195523,,,,18890250,138605750,,,
AECOM TECHNOLOGY CORP,2010,Q3,399579500,,-151587000,264996750,0.01,1.50E+08,112333841.5,112333841.5,99189000,,,,,,,
AECOM TECHNOLOGY CORP,2011,Q1,571347500,,-141403000,,0.01,1.50E+08,115998214,115998214,64430000,,,51325000,77830000,,,
AECOM TECHNOLOGY CORP,2011,Q2,570189000,,-104634000,,0.01,1.50E+08,116377916,116377916,129432000,,,,,,708395500,115550750
AECOM TECHNOLOGY CORP,2011,Q3,,,-100027500,394745750,,,,116470463.5,140423000,,71495000,,182944250,281057500,,116010250
AECOM TECHNOLOGY CORP,2012,Q1,,,-178234000,499630250,,,,,,,,,,328705500,,
AECOM TECHNOLOGY CORP,2012,Q3,708957000,,-178868500,,,3.00E+08,111588232.5,111588232.5,147705250,,81069000,,,324935500,860128500,
AECOM TECHNOLOGY CORP,2013,Q1,729988000,,,537374500,0.01,3.00E+08,103988111,,,,24725000,43020000,,,,
AECOM TECHNOLOGY CORP,2014,Q3,,,-270183333.3,553047750,0.01,3.00E+08,96210999,96210999,82570250,,,,177014250,,,
"AEOLUS PHARMACEUTICALS, INC.",2011,Q3,,,,,,,,58643947.5,,,,,-1764250,,,53875.5
"AEOLUS PHARMACEUTICALS, INC.",2012,Q1,,1588500,,1731500,,,,60470718,,,,-2321500,-725500,,,58748.5
"AEOLUS PHARMACEUTICALS, INC.",2012,Q2,,1662400,,999000,,,,,,,,,,,,54687.14286
"AEOLUS PHARMACEUTICALS, INC.",2013,Q1,,,,,0.01,2.00E+08,62731963,62731963,,,,,,,,
"AEOLUS PHARMACEUTICALS, INC.",2013,Q2,,1251000,,953888.8889,0.01,2.00E+08,91006956,91006956,,,,,-1395300,,,69118.5
"AEOLUS PHARMACEUTICALS, INC.",2014,Q2,,1023625,,844571.4286,,,,134550068,,,,-2276500,,,-183544125,102241.3125
"AEOLUS PHARMACEUTICALS, INC.",2015,Q3,,,,,,,135930068,,,,,,-239250,,-185099000,
"AEOLUS PHARMACEUTICALS, INC.",2016,Q1,,1228000,,1875500,,,143744906.5,,,,,,,,-186146500,
"AEOLUS PHARMACEUTICALS, INC.",2017,Q2,,676500,,,,,,152085825,,,,,,,-191249000,150299
"AEOLUS PHARMACEUTICALS, INC.",2017,Q3,,531500,,1852000,,,,,,,,-1856750,,,-191723500,
AEP INDUSTRIES INC,2011,Q3,,,2495000,,,,,,,,16102000,,11112000,167133500,,
AEP INDUSTRIES INC,2012,Q1,,,,,,,,,,,,709500,5200000,168961000,108341000,
AEP INDUSTRIES INC,2012,Q3,75708000,107825000,2050500,,0.01,3.00E+07,11112703,,,,16576500,,23753500,,116898000,5722570.5
AEP INDUSTRIES INC,2013,Q3,,,412000,,,,,,10135000,,,,,,,
AEP INDUSTRIES INC,2015,Q1,79381500,,,4037250,0.01,,,,,,8395000,-1625500,,,,
AEP INDUSTRIES INC,2015,Q2,82374000,114129500,-363000,,,,,,3237000,,,,,,,
AEP INDUSTRIES INC,2015,Q3,,,,,0.01,3.00E+07,11226720,,,,24057000,,,,,
AFC ENTERPRISES INC,2013,Q2,,,-750000,,0.01,1.50E+08,23887431,23887431,8950000,1550000,,,,54500000,,23850000
"AFH ACQUISITION IX, INC.",2011,Q3,,,,,,,,5.00E+06,,,,,,,,
"AFH ACQUISITION IX, INC.",2012,Q1,,,,,,,,5.00E+06,,,,-18211.66667,,,,
"AFH ACQUISITION IX, INC.",2012,Q2,,,,0,,,,,,,,,,,,
"AFH ACQUISITION IX, INC.",2013,Q1,,,,,0.001,1.00E+08,5.00E+06,5.00E+06,,,,,,,,
"AFH ACQUISITION IX, INC.",2013,Q2,,,,,,1.00E+08,5.00E+06,5.00E+06,,,,,,,,
"AFH ACQUISITION V, INC.",2011,Q3,,,,,,,,5.00E+06,,,,,,,,
"AFH ACQUISITION V, INC.",2012,Q1,,,,80,,,,,,,,-16474,,,-46083,
"AFH ACQUISITION V, INC.",2012,Q2,,,,0,,,,,,,,,,,,
"AFH ACQUISITION V, INC.",2013,Q1,,,,,0.001,1.00E+08,5.00E+06,5.00E+06,,,,,,,,
